productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extAspect,extCardType,extTraits,extCost,extPower,extHP,extArenaType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
549492,Hunter - Outcast Sergeant,Hunter Outcast Sergeant,https://tcgplayer-cdn.tcgplayer.com/product/549492_200w.jpg,79,23488,https://cpt.tcgcsv.com/SPp6,2024-07-12T04:03:16.813,2,Rare,009/262,"<strong>Action [1, T]:</strong> Reveal a resource you control. If it shares a name with a friendly unique unit, return the resource to its owner's hand and put the top card of your deck into play as a resource. <strong>Epic Action:</strong> If you control 7 or more resources, deploy this leader.<br>
[Deployed Leader Unit]<br>
<strong>Overwhelm</strong>
<br>
<strong>On Attack:</strong> You may reveal a resource you control. If it shares a name with a friendly unique unit, return the resource to its owner's hand and put the top card of your deck into play as a resource.",Command;Heroism,Leader,Fringe;Clone,7,5,8,Ground,0.04,0.26,20.0,0.22,,Normal
549497,Bo-Katan Kryze - Princess in Exile,Bo Katan Kryze Princess in Exile,https://tcgplayer-cdn.tcgplayer.com/product/549497_200w.jpg,79,23488,https://cpt.tcgcsv.com/ZPp6,2024-07-12T04:03:16.813,2,Rare,012/262,"<strong>Action [T]:</strong> If you attacked with a Mandalorian unit this phase, deal 1 damage to a unit. <strong>Epic Action:</strong> If you control 6 or more resources, deploy this leader.<br>
[Deployed Leader Unit]<br>
<strong>On Attack:</strong> You may deal 1 damage to a unit. If you attacked with another <strong>Mandalorian</strong> unit this phase, you may deal 1 damage to a unit. <em>(The same unit or a different unit.)</em>",Aggression;Heroism,Leader,Mandalorian,6,4,7,Ground,0.01,0.25,20.0,0.14,,Normal
549498,Pyke Sentinel,Pyke Sentinel,https://tcgplayer-cdn.tcgplayer.com/product/549498_200w.jpg,79,23488,https://cpt.tcgcsv.com/-Pp6,2024-07-12T04:03:16.813,1,Common,029/262,<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>,Vigilance;Villainy,Unit,Underworld,2,2,3,Ground,0.01,0.25,11.5,0.19,,Foil
549498,Pyke Sentinel,Pyke Sentinel,https://tcgplayer-cdn.tcgplayer.com/product/549498_200w.jpg,79,23488,https://cpt.tcgcsv.com/-Pp6,2024-07-12T04:03:16.813,1,Common,029/262,<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>,Vigilance;Villainy,Unit,Underworld,2,2,3,Ground,0.01,0.15,4.0,0.07,,Normal
549499,First Light - Headquarters of the Crimson Dawn,First Light Headquarters of the Crimson Dawn,https://tcgplayer-cdn.tcgplayer.com/product/549499_200w.jpg,79,23488,https://cpt.tcgcsv.com/_Pp6,2024-07-12T04:03:16.813,1,Rare,036/262,"<strong>Grit</strong>
<br>
Each other non-leader unit gains <strong>Grit</strong>
<br>
<strong>Smuggle [7 [Vigilance] [Villainy], deal 4 damage to a friendly unit]</strong>",Vigilance;Villainy,Unit,Transport;Underworld;Vehicle,7,4,7,Space,1.0,1.66,9.0,1.34,,Foil
549499,First Light - Headquarters of the Crimson Dawn,First Light Headquarters of the Crimson Dawn,https://tcgplayer-cdn.tcgplayer.com/product/549499_200w.jpg,79,23488,https://cpt.tcgcsv.com/_Pp6,2024-07-12T04:03:16.813,1,Rare,036/262,"<strong>Grit</strong>
<br>
Each other non-leader unit gains <strong>Grit</strong>
<br>
<strong>Smuggle [7 [Vigilance] [Villainy], deal 4 damage to a friendly unit]</strong>",Vigilance;Villainy,Unit,Transport;Underworld;Vehicle,7,4,7,Space,0.5,1.02,20.0,0.98,,Normal
549500,Calculated Lethality,Calculated Lethality,https://tcgplayer-cdn.tcgplayer.com/product/549500_200w.jpg,79,23488,https://cpt.tcgcsv.com/0Qp6,2024-07-12T04:03:16.813,1,Special,039/262,"Defeat a non-leader unit that costs 3 or less. For each upgrade that was on that unit, give an Experience token to a friendly unit.",Vigilance;Villainy,Event,Tactic,4,,,,0.47,0.57,4.99,0.57,,Normal
549501,Razor Crest - Reliable Gunship,Razor Crest Reliable Gunship,https://tcgplayer-cdn.tcgplayer.com/product/549501_200w.jpg,79,23488,https://cpt.tcgcsv.com/2Qp6,2024-07-12T04:03:16.813,1,Special,044/262,"<strong>Restore 2</strong> <em>(When this unit attacks, heal 2 damage from your base.)</em>
<br>
<strong>When Played:</strong> You may return an upgrade from your discard pile to your hand.",Heroism;Vigilance,Event,Mandalorian;Transport;Vehicle,4,3,4,Space,1.68,2.0,9.99,1.71,,Normal
549502,Gentle Giant,Gentle Giant,https://tcgplayer-cdn.tcgplayer.com/product/549502_200w.jpg,79,23488,https://cpt.tcgcsv.com/3Qp6,2024-07-12T04:03:16.813,1,Common,048/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>On Attack:</strong> You may heal damage from another unit equal to the damage on this unit.",Heroism;Vigilance,Unit,Wookiee,6,2,8,Ground,0.01,0.15,4.0,0.04,,Normal
549502,Gentle Giant,Gentle Giant,https://tcgplayer-cdn.tcgplayer.com/product/549502_200w.jpg,79,23488,https://cpt.tcgcsv.com/3Qp6,2024-07-12T04:03:16.813,1,Common,048/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>On Attack:</strong> You may heal damage from another unit equal to the damage on this unit.",Heroism;Vigilance,Unit,Wookiee,6,2,8,Ground,0.03,0.2,2.7,0.12,,Foil
549503,"The Mandalorian - Wherever I Go, He Goes",The Mandalorian Wherever I Go He Goes,https://tcgplayer-cdn.tcgplayer.com/product/549503_200w.jpg,79,23488,https://cpt.tcgcsv.com/5Qp6,2024-07-12T04:03:16.813,1,Legendary,049/262,"<strong>Sentinel</strong>
<br>
<strong>When Played:</strong> You may heal all damage from a unit that costs 2 or less and give 2 Shield tokens to it.",Heroism;Vigilance,Unit,Bounty Hunter;Mandalorian,6,5,6,Ground,12.0,19.0,49.95,15.67,,Normal
549503,"The Mandalorian - Wherever I Go, He Goes",The Mandalorian Wherever I Go He Goes,https://tcgplayer-cdn.tcgplayer.com/product/549503_200w.jpg,79,23488,https://cpt.tcgcsv.com/5Qp6,2024-07-12T04:03:16.813,1,Legendary,049/262,"<strong>Sentinel</strong>
<br>
<strong>When Played:</strong> You may heal all damage from a unit that costs 2 or less and give 2 Shield tokens to it.",Heroism;Vigilance,Unit,Bounty Hunter;Mandalorian,6,5,6,Ground,15.22,20.51,67.6,20.51,,Foil
549504,Follower of The Way,Follower of The Way,https://tcgplayer-cdn.tcgplayer.com/product/549504_200w.jpg,79,23488,https://cpt.tcgcsv.com/6Qp6,2024-07-12T04:03:16.813,1,Common,056/262,"While this unit is upgraded, it gets +1/+1.",Vigilance,Unit,Mandalorian,2,1,3,Ground,0.01,0.15,4.0,0.05,,Normal
549504,Follower of The Way,Follower of The Way,https://tcgplayer-cdn.tcgplayer.com/product/549504_200w.jpg,79,23488,https://cpt.tcgcsv.com/6Qp6,2024-07-12T04:03:16.813,1,Common,056/262,"While this unit is upgraded, it gets +1/+1.",Vigilance,Unit,Mandalorian,2,1,3,Ground,0.1,0.2,11.5,0.13,,Foil
