productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extAspect,extCardType,extTraits,extHP,extCost,extPower,extArenaType
533897,Spark of Rebellion - Booster Display,Spark of Rebellion Booster Display,https://tcgplayer-cdn.tcgplayer.com/product/533897_200w.jpg,79,23405,https://cpt.tcgcsv.com/Zzh6,2024-03-08T05:03:37.01,1,182.98,214.4,298.98,180.31,,Normal,,,,,,,,,,
533898,Spark of Rebellion - Booster Pack,Spark of Rebellion Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/533898_200w.jpg,79,23405,https://cpt.tcgcsv.com/-zh6,2024-07-10T17:39:58.813,1,8.99,10.2,14.29,9.05,,Normal,,,,,,,,,,
533899,Spark of Rebellion - Two-Player Starter,Spark of Rebellion Two Player Starter,https://tcgplayer-cdn.tcgplayer.com/product/533899_200w.jpg,79,23405,https://cpt.tcgcsv.com/_zh6,2024-03-08T05:03:37.01,1,17.99,27.95,39.95,25.49,,Normal,,,,,,,,,,
535115,Spark of Rebellion - Booster Case,Spark of Rebellion Booster Case,https://tcgplayer-cdn.tcgplayer.com/product/535115_200w.jpg,79,23405,https://cpt.tcgcsv.com/k3j6,2024-03-08T05:03:37.01,1,1157.87,1299.99,1799.99,1324.1,,Normal,,,,,,,,,,
535133,Spark of Rebellion - Prerelease Kit,Spark of Rebellion Prerelease Kit,https://tcgplayer-cdn.tcgplayer.com/product/535133_200w.jpg,79,23405,https://cpt.tcgcsv.com/H3j6,2024-05-31T12:55:54.427,1,70.0,84.98,152.29,84.22,,Normal,,,,,,,,,,
535139,Spark of Rebellion - Two-Player Starter Case,Spark of Rebellion Two Player Starter Case,https://tcgplayer-cdn.tcgplayer.com/product/535139_200w.jpg,79,23405,https://cpt.tcgcsv.com/P3j6,2024-03-08T05:03:37.01,1,149.99,164.85,174.86,165.11,,Normal,,,,,,,,,,
540140,Security Complex,Security Complex,https://tcgplayer-cdn.tcgplayer.com/product/540140_200w.jpg,79,23405,https://cpt.tcgcsv.com/Q3l6,2024-03-08T05:03:37.01,1,0.2,0.68,5.64,0.63,,Foil,Rare,019/252,<strong>Epic Action:</strong> Give a Shield token to a non-leader unit.,Vigilance,Base,Scarif,25,,,
540140,Security Complex,Security Complex,https://tcgplayer-cdn.tcgplayer.com/product/540140_200w.jpg,79,23405,https://cpt.tcgcsv.com/Q3l6,2024-03-08T05:03:37.01,1,0.1,0.4,5.3,0.3,,Normal,Rare,019/252,<strong>Epic Action:</strong> Give a Shield token to a non-leader unit.,Vigilance,Base,Scarif,25,,,
540141,Capital City,Capital City,https://tcgplayer-cdn.tcgplayer.com/product/540141_200w.jpg,79,23405,https://cpt.tcgcsv.com/R3l6,2024-03-08T05:03:37.01,1,0.03,0.16,1.32,0.17,,Normal,Common,020/252,,Vigilance,Base,Lothal,020/252,,,
540142,Dagobah Swamp,Dagobah Swamp,https://tcgplayer-cdn.tcgplayer.com/product/540142_200w.jpg,79,23405,https://cpt.tcgcsv.com/S3l6,2024-03-08T05:03:37.01,1,0.04,0.1,1.99,0.09,,Normal,Common,021/252,,Vigilance,Base,Dagobah,30,,,
540143,Energy Conversion Lab,Energy Conversion Lab,https://tcgplayer-cdn.tcgplayer.com/product/540143_200w.jpg,79,23405,https://cpt.tcgcsv.com/T3l6,2024-03-08T05:03:37.01,1,0.9,2.5,6.49,2.49,,Normal,Rare,022/252,<strong>Epic Action:</strong> Play a unit that costs 6 or less from your hand. Give it <strong>Ambush</strong> for this phase.,Command,Base,Eadu,25,,,
540143,Energy Conversion Lab,Energy Conversion Lab,https://tcgplayer-cdn.tcgplayer.com/product/540143_200w.jpg,79,23405,https://cpt.tcgcsv.com/T3l6,2024-03-08T05:03:37.01,1,2.0,3.0,10.0,2.58,,Foil,Rare,022/252,<strong>Epic Action:</strong> Play a unit that costs 6 or less from your hand. Give it <strong>Ambush</strong> for this phase.,Command,Base,Eadu,25,,,
540144,Command Center,Command Center,https://tcgplayer-cdn.tcgplayer.com/product/540144_200w.jpg,79,23405,https://cpt.tcgcsv.com/V3l6,2024-03-08T05:03:37.01,1,0.02,0.1,1.99,0.09,,Normal,Common,023/252,,Command,Base,Death Star,30,,,
540145,Echo Base,Echo Base,https://tcgplayer-cdn.tcgplayer.com/product/540145_200w.jpg,79,23405,https://cpt.tcgcsv.com/W3l6,2024-03-08T05:03:37.01,1,0.03,0.15,1.32,0.13,,Normal,Common,024/252,,Command,Base,Hoth,30,,,
540146,Tarkintown,Tarkintown,https://tcgplayer-cdn.tcgplayer.com/product/540146_200w.jpg,79,23405,https://cpt.tcgcsv.com/X3l6,2024-03-08T05:03:37.01,1,0.05,0.54,5.38,0.5,,Normal,Rare,025/252,<strong>Epic Action:</strong> Deal 3 damage to a damaged non-leader unit.,Aggression,Base,Lothal,25,,,
540146,Tarkintown,Tarkintown,https://tcgplayer-cdn.tcgplayer.com/product/540146_200w.jpg,79,23405,https://cpt.tcgcsv.com/X3l6,2024-03-08T05:03:37.01,1,0.49,1.0,11.5,0.87,,Foil,Rare,025/252,<strong>Epic Action:</strong> Deal 3 damage to a damaged non-leader unit.,Aggression,Base,Lothal,25,,,
540147,Catacombs of Cadera,Catacombs of Cadera,https://tcgplayer-cdn.tcgplayer.com/product/540147_200w.jpg,79,23405,https://cpt.tcgcsv.com/Z3l6,2024-03-08T05:03:37.01,1,0.02,0.13,1.32,0.1,,Normal,Common,026/252,,Aggression,Base,Jedha,30,,,
540148,Kestro City,Kestro City,https://tcgplayer-cdn.tcgplayer.com/product/540148_200w.jpg,79,23405,https://cpt.tcgcsv.com/-3l6,2024-03-08T05:03:37.01,1,0.03,0.1,1.32,0.08,,Normal,Common,027/252,,Aggression,Base,Vardos,30,,,
540149,Jedha City,Jedha City,https://tcgplayer-cdn.tcgplayer.com/product/540149_200w.jpg,79,23405,https://cpt.tcgcsv.com/_3l6,2024-03-08T05:03:37.01,1,0.1,0.5,11.99,0.31,,Foil,Rare,028/252,<strong>Epic Action:</strong> Give a non-leader unit -4/-0 for this phase.,Cunning,Base,Jedha,25,,,
540149,Jedha City,Jedha City,https://tcgplayer-cdn.tcgplayer.com/product/540149_200w.jpg,79,23405,https://cpt.tcgcsv.com/_3l6,2024-03-08T05:03:37.01,1,0.04,0.3,11.5,0.26,,Normal,Rare,028/252,<strong>Epic Action:</strong> Give a non-leader unit -4/-0 for this phase.,Cunning,Base,Jedha,25,,,
540150,Administrator's Tower,Administrators Tower,https://tcgplayer-cdn.tcgplayer.com/product/540150_200w.jpg,79,23405,https://cpt.tcgcsv.com/05l6,2024-03-08T05:03:37.01,1,0.02,0.1,1.32,0.1,,Normal,Common,029/252,,Cunning,Base,Cloud City,30,,,
540151,Chopper Base,Chopper Base,https://tcgplayer-cdn.tcgplayer.com/product/540151_200w.jpg,79,23405,https://cpt.tcgcsv.com/25l6,2024-03-08T05:03:37.01,1,0.03,0.1,1.99,0.08,,Normal,Common,030/252,,Cunning,Base,Atollon,30,,,
540152,Inferno Four - Unforgetting,Inferno Four Unforgetting,https://tcgplayer-cdn.tcgplayer.com/product/540152_200w.jpg,79,23405,https://cpt.tcgcsv.com/35l6,2024-03-08T05:03:37.01,1,0.14,0.5,5.52,0.52,,Normal,Uncommon,031/252,<strong>When Played/When Defeated:</strong> Look at the top 2 cards of your deck. Put any number of them on the bottom of your deck and the rest on top in any order.,Vigilance;Villainy,Unit,Fighter;Imperial;Vehicle,3,2,2,Space
