productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extAspect,extCardType,extTraits,extCost,extPower,extHP,extArenaType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
540613,General Veers - Blizzard Force Commander,General Veers Blizzard Force Commander,https://tcgplayer-cdn.tcgplayer.com/product/540613_200w.jpg,79,23451,https://cpt.tcgcsv.com/hgl6,2024-03-14T12:35:08.317,1,Rare,20/20,Other friendly Imperial units get +1/+1.,Villainy,Unit,Imperial;Official,3,3,3,Ground,0.25,1.0,4.25,0.6,,Normal
540613,General Veers - Blizzard Force Commander,General Veers Blizzard Force Commander,https://tcgplayer-cdn.tcgplayer.com/product/540613_200w.jpg,79,23451,https://cpt.tcgcsv.com/hgl6,2024-03-14T12:35:08.317,1,Rare,20/20,Other friendly Imperial units get +1/+1.,Villainy,Unit,Imperial;Official,3,3,3,Ground,0.49,1.99,9.99,0.77,,Foil
542132,Greedo - Slow on the Draw,Greedo Slow on the Draw,https://tcgplayer-cdn.tcgplayer.com/product/542132_200w.jpg,79,23451,https://cpt.tcgcsv.com/GSl6,2024-03-08T05:03:37.01,1,Rare,18/20,"<strong>When Defeated:</strong> You may discard a card from your deck. If it's not a unit, deal 2 damage to a ground unit.",Cunning,Unit,Bounty Hunter;Underworld,1,3,1,Ground,1.94,3.26,11.0,2.45,,Normal
542132,Greedo - Slow on the Draw,Greedo Slow on the Draw,https://tcgplayer-cdn.tcgplayer.com/product/542132_200w.jpg,79,23451,https://cpt.tcgcsv.com/GSl6,2024-03-08T05:03:37.01,1,Rare,18/20,"<strong>When Defeated:</strong> You may discard a card from your deck. If it's not a unit, deal 2 damage to a ground unit.",Cunning,Unit,Bounty Hunter;Underworld,1,3,1,Ground,2.8,5.92,49.95,3.82,,Foil
542134,Sabine Wren - Explosives Artist,Sabine Wren Explosives Artist,https://tcgplayer-cdn.tcgplayer.com/product/542134_200w.jpg,79,23451,https://cpt.tcgcsv.com/JSl6,2024-03-08T05:03:37.01,1,Rare,17/20,"While there are at least 3 aspects among other friendly units, this unit can't be attacked.<br><strong>On Attack:</strong> You may deal 1 damage to the defender or to a base.",Aggression;Heroism,Unit,Mandalorian;Rebel;Spectre,2,2,3,Ground,4.75,6.82,22.49,5.85,,Foil
542134,Sabine Wren - Explosives Artist,Sabine Wren Explosives Artist,https://tcgplayer-cdn.tcgplayer.com/product/542134_200w.jpg,79,23451,https://cpt.tcgcsv.com/JSl6,2024-03-08T05:03:37.01,1,Rare,17/20,"While there are at least 3 aspects among other friendly units, this unit can't be attacked.<br><strong>On Attack:</strong> You may deal 1 damage to the defender or to a base.",Aggression;Heroism,Unit,Mandalorian;Rebel;Spectre,2,2,3,Ground,2.22,5.5,10.78,2.74,,Normal
542136,Yoda - Old Master,Yoda Old Master,https://tcgplayer-cdn.tcgplayer.com/product/542136_200w.jpg,79,23451,https://cpt.tcgcsv.com/LSl6,2024-03-08T05:03:37.01,1,Rare,16/20,<strong>Restore 2</strong><br><strong>When Defeated:</strong> Choose any number of players. They each draw a card.,Heroism;Vigilance,Unit,Force;Jedi,3,2,4,Ground,1.85,3.47,12.0,2.18,,Foil
542136,Yoda - Old Master,Yoda Old Master,https://tcgplayer-cdn.tcgplayer.com/product/542136_200w.jpg,79,23451,https://cpt.tcgcsv.com/LSl6,2024-03-08T05:03:37.01,1,Rare,16/20,<strong>Restore 2</strong><br><strong>When Defeated:</strong> Choose any number of players. They each draw a card.,Heroism;Vigilance,Unit,Force;Jedi,3,2,4,Ground,0.89,2.4,7.12,1.17,,Normal
542139,Resupply,Resupply,https://tcgplayer-cdn.tcgplayer.com/product/542139_200w.jpg,79,23451,https://cpt.tcgcsv.com/PSl6,2024-03-08T05:03:37.01,1,Rare,12/20,Put this event into play as a resource.,Command,Event,Supply,3,,,,0.99,2.0,7.35,1.47,,Normal
542139,Resupply,Resupply,https://tcgplayer-cdn.tcgplayer.com/product/542139_200w.jpg,79,23451,https://cpt.tcgcsv.com/PSl6,2024-03-08T05:03:37.01,1,Rare,12/20,Put this event into play as a resource.,Command,Event,Supply,3,,,,2.74,5.5,18.96,3.74,,Foil
542143,R2-D2 - Ignoring Protocol (Hyperspace),R2 D2 Ignoring Protocol Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542143_200w.jpg,79,23451,https://cpt.tcgcsv.com/TSl6,2024-03-08T05:03:37.01,1,Common,10/20,<strong>When Played/On Attack:</strong> Look at the top card of your deck. You may put it on the bottom of your deck.,Heroism,Unit,Droid;Rebel,1,1,4,Ground,0.4,1.37,11.5,0.82,,Normal
542146,C-3PO - Protocol Droid (Hyperspace),C 3PO Protocol Droid Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542146_200w.jpg,79,23451,https://cpt.tcgcsv.com/XSl6,2024-03-08T05:03:37.01,1,Common,09/20,"<strong>When Played/On Attack:</strong> Choose a number, then look at the top card of your deck. If its cost is the chosen number, you may reveal and draw it.",Heroism,Unit,Droid;Rebel,2,1,4,Ground,0.12,0.5,11.5,0.37,,Normal
542147,Luke's Lightsaber (Hyperspace),Lukes Lightsaber Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542147_200w.jpg,79,23451,https://cpt.tcgcsv.com/ZSl6,2024-03-08T05:03:37.01,1,Common,08/20,"Attach to a non-Vehicle unit.<br><strong>When Played:</strong> If attached unit is Luke Skywalker, heal all damage from him and give a Shield token to him.",Heroism;Vigilance,Upgrade,Item;Lightsaber;Weapon,2,3,1,,0.03,0.51,28.5,0.32,,Normal
542151,Admiral Motti - Brazen and Scornful (Hyperspace),Admiral Motti Brazen and Scornful Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542151_200w.jpg,79,23451,https://cpt.tcgcsv.com/2Tl6,2024-03-08T05:03:37.01,1,Common,07/20,<strong>When Defeated:</strong> You may ready a [Villainy] unit.,Villainy,Unit,Imperial;Official,2,1,1,Ground,0.1,0.44,11.5,0.28,,Normal
542158,Grand Moff Tarkin - Death Star Overseer (Hyperspace),Grand Moff Tarkin Death Star Overseer Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542158_200w.jpg,79,23451,https://cpt.tcgcsv.com/bTl6,2024-03-08T05:03:37.01,1,Common,06/20,"<strong>When Played:</strong> Search the top 5 cards of your deck for up to 2 Imperial cards, reveal them, and draw them.",Command;Villainy,Unit,Imperial;Official,4,2,3,Ground,0.09,0.45,11.5,0.26,,Normal
542159,General Dodonna - Massassi Group Commander,General Dodonna Massassi Group Commander,https://tcgplayer-cdn.tcgplayer.com/product/542159_200w.jpg,79,23451,https://cpt.tcgcsv.com/cTl6,2024-03-08T05:03:37.01,1,Rare,19/20,Other friendly Rebel units get +1/+1.,Heroism,Unit,Official;Rebel,4,4,4,Ground,0.75,2.0,90.0,1.05,,Foil
